name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played
Andre Barrett,POINT GUARD,23,TORONTO RAPTORS,2,13,6,9,8,14,50,10,0,14,12,78,2006,0.365,17
Andre Barrett,POINT GUARD,23,TORONTO RAPTORS,2,13,6,9,8,14,50,10,0,14,12,78,2006,0.429,17
Andre Barrett,POINT GUARD,23,TORONTO RAPTORS,2,13,6,9,8,14,50,10,0,14,12,78,2006,0.361,17
Earl Barron,CENTER,24,MIAMI HEAT,0,0,3,4,2,8,0,0,0,5,10,13,2006,0.313,8
Brent Barry,SHOOTING GUARD,34,SAN ANTONIO SPURS,80,202,39,59,29,130,123,39,27,52,99,431,2006,0.452,74
Jon Barry,SHOOTING GUARD,36,HOUSTON ROCKETS,12,32,24,29,1,30,26,13,1,22,25,86,2006,0.385,20
Eddie Basden,SMALL FORWARD,22,CHICAGO BULLS,1,7,8,10,7,21,8,9,2,9,17,39,2006,0.405,19
Brandon Bass,POWER FORWARD,20,NEW ORLEANS/OKLAHOMA CITY HORNETS,0,0,12,19,18,50,3,3,7,11,18,68,2006,0.4,29
Esteban Batista,POWER FORWARD,22,ATLANTA HAWKS,0,1,33,53,61,83,7,15,11,38,111,101,2006,0.425,57
Tony Battie,CENTER,29,ORLANDO MAGIC,0,6,89,134,145,312,49,46,69,88,250,649,2006,0.507,82
Shane Battier,SMALL FORWARD,27,MEMPHIS GRIZZLIES,65,165,147,208,164,265,136,92,114,90,223,818,2006,0.488,81
Lonny Baxter,CENTER,27,HOUSTON ROCKETS,0,0,16,19,38,46,2,9,7,13,48,82,2006,0.433,23
Lonny Baxter,CENTER,27,HOUSTON ROCKETS,0,0,16,19,38,46,2,9,7,13,48,82,2006,0.458,23
Lonny Baxter,CENTER,27,HOUSTON ROCKETS,0,0,16,19,38,46,2,9,7,13,48,82,2006,0.375,23
Lonny Baxter,POWER FORWARD,27,CHARLOTTE BOBCATS,0,0,12,16,7,26,2,2,1,7,8,36,2006,0.433,18
Lonny Baxter,POWER FORWARD,27,CHARLOTTE BOBCATS,0,0,12,16,7,26,2,2,1,7,8,36,2006,0.458,18
Lonny Baxter,POWER FORWARD,27,CHARLOTTE BOBCATS,0,0,12,16,7,26,2,2,1,7,8,36,2006,0.375,18
Charlie Bell,SHOOTING GUARD,26,MILWAUKEE BUCKS,71,168,63,89,21,99,130,59,5,41,126,494,2006,0.439,59
Raja Bell,SHOOTING GUARD,29,PHOENIX SUNS,197,446,115,146,44,209,207,76,22,89,248,1162,2006,0.457,79
Jonathan Bender,SMALL FORWARD,25,INDIANA PACERS,0,0,2,2,0,4,2,0,1,0,2,10,2006,0.8,2
Mike Bibby,POINT GUARD,27,SACRAMENTO KINGS,192,497,342,403,29,211,444,82,10,199,169,1728,2006,0.432,82
Andris Biedriņš,CENTER,19,GOLDEN STATE WARRIORS,0,0,22,72,124,159,24,23,47,34,190,258,2006,0.638,68
Chauncey Billups,POINT GUARD,29,DETROIT PISTONS,184,425,465,520,41,211,699,71,8,170,160,1495,2006,0.418,81
Steve Blake,POINT GUARD,25,PORTLAND TRAIL BLAZERS,76,184,72,91,26,120,306,42,5,83,107,560,2006,0.438,68
Andray Blatche,POWER FORWARD,19,WASHINGTON WIZARDS,3,13,10,12,12,26,10,5,7,12,36,65,2006,0.388,29
Mark Blount,CENTER,30,BOSTON CELTICS,0,0,97,127,36,126,66,15,36,120,107,485,2006,0.508,39
Mark Blount,CENTER,30,BOSTON CELTICS,0,0,97,127,36,126,66,15,36,120,107,485,2006,0.511,39
Mark Blount,CENTER,30,BOSTON CELTICS,0,0,97,127,36,126,66,15,36,120,107,485,2006,0.506,39
Mark Blount,CENTER,30,MINNESOTA TIMBERWOLVES,0,0,71,95,60,143,33,25,40,74,147,429,2006,0.508,42
Mark Blount,CENTER,30,MINNESOTA TIMBERWOLVES,0,0,71,95,60,143,33,25,40,74,147,429,2006,0.511,42
Mark Blount,CENTER,30,MINNESOTA TIMBERWOLVES,0,0,71,95,60,143,33,25,40,74,147,429,2006,0.506,42
Keith Bogans,SHOOTING GUARD,25,CHARLOTTE BOBCATS,33,98,80,105,29,77,45,39,3,41,78,341,2006,0.395,39
Keith Bogans,SHOOTING GUARD,25,CHARLOTTE BOBCATS,33,98,80,105,29,77,45,39,3,41,78,341,2006,0.396,39
Keith Bogans,SHOOTING GUARD,25,CHARLOTTE BOBCATS,33,98,80,105,29,77,45,39,3,41,78,341,2006,0.395,39
Keith Bogans,SMALL FORWARD,25,HOUSTON ROCKETS,32,102,47,81,26,123,83,32,6,49,89,281,2006,0.395,33
Keith Bogans,SMALL FORWARD,25,HOUSTON ROCKETS,32,102,47,81,26,123,83,32,6,49,89,281,2006,0.396,33
Keith Bogans,SMALL FORWARD,25,HOUSTON ROCKETS,32,102,47,81,26,123,83,32,6,49,89,281,2006,0.395,33
Andrew Bogut,POWER FORWARD,21,MILWAUKEE BUCKS,0,3,122,194,189,384,192,49,68,125,259,768,2006,0.533,82
Matt Bonner,POWER FORWARD,25,TORONTO RAPTORS,102,243,63,76,86,198,56,49,31,32,216,583,2006,0.448,78
Calvin Booth,CENTER,29,WASHINGTON WIZARDS,1,2,5,9,19,33,12,9,9,8,44,46,2006,0.426,33
Carlos Boozer,POWER FORWARD,24,UTAH JAZZ,0,0,99,137,73,212,88,30,8,69,105,537,2006,0.549,33
Chris Bosh,CENTER,21,TORONTO RAPTORS,0,13,474,581,204,443,181,50,79,157,209,1572,2006,,70
Bruce Bowen,SMALL FORWARD,34,SAN ANTONIO SPURS,104,245,51,84,35,285,126,79,30,67,191,619,2006,0.433,82
Ryan Bowen,SMALL FORWARD,30,HOUSTON ROCKETS,3,22,11,14,31,57,24,21,6,13,85,88,2006,0.298,68
Earl Boykins,POINT GUARD,29,DENVER NUGGETS,62,179,152,174,21,60,230,48,4,83,73,756,2006,0.41,60
Michael Bradley,POWER FORWARD,26,PHILADELPHIA 76ERS,1,5,2,3,40,67,17,5,7,19,39,67,2006,0.405,46
Elton Brand,POWER FORWARD,26,LOS ANGELES CLIPPERS,1,3,440,568,236,554,208,81,201,173,227,1953,2006,0.527,79
Primož Brezec,CENTER,26,CHARLOTTE BOBCATS,0,2,164,224,181,259,45,19,32,85,227,982,2006,0.517,79
Devin Brown,SHOOTING GUARD,27,UTAH JAZZ,39,118,158,212,73,134,104,44,14,99,153,611,2006,0.393,81
Kwame Brown,CENTER,23,LOS ANGELES LAKERS,0,1,128,235,182,291,72,27,46,100,196,536,2006,0.526,72
P.J. Brown,CENTER,36,NEW ORLEANS/OKLAHOMA CITY HORNETS,0,0,139,168,182,365,90,46,50,90,216,677,2006,0.461,75
Rick Brunson,POINT GUARD,33,SEATTLE SUPERSONICS,0,1,0,0,0,2,2,0,0,3,1,10,2006,0.389,4
Rick Brunson,POINT GUARD,33,SEATTLE SUPERSONICS,0,1,0,0,0,2,2,0,0,3,1,10,2006,0.625,4
Rick Brunson,POINT GUARD,33,SEATTLE SUPERSONICS,0,1,0,0,0,2,2,0,0,3,1,10,2006,0.348,4
Rick Brunson,POINT GUARD,33,HOUSTON ROCKETS,5,12,7,12,1,19,33,8,1,19,21,44,2006,0.389,23
Rick Brunson,POINT GUARD,33,HOUSTON ROCKETS,5,12,7,12,1,19,33,8,1,19,21,44,2006,0.625,23
Rick Brunson,POINT GUARD,33,HOUSTON ROCKETS,5,12,7,12,1,19,33,8,1,19,21,44,2006,0.348,23
Kobe Bryant,SHOOTING GUARD,27,LOS ANGELES LAKERS,180,518,696,819,71,354,360,147,30,250,233,2832,2006,,80
Greg Buckner,SHOOTING GUARD,29,DENVER NUGGETS,86,243,43,55,31,178,127,87,20,52,180,491,2006,0.434,73
Pat Burke,CENTER,32,PHOENIX SUNS,2,7,13,21,21,52,16,6,13,33,62,141,2006,0.496,42
Antonio Burks,POINT GUARD,25,MEMPHIS GRIZZLIES,1,6,10,23,4,33,76,20,0,36,45,113,2006,0.354,57
Kevin Burleson,POINT GUARD,26,CHARLOTTE BOBCATS,10,54,16,17,4,22,48,26,2,25,63,70,2006,0.25,39
Caron Butler,SMALL FORWARD,25,WASHINGTON WIZARDS,41,120,289,332,114,352,186,127,18,175,238,1318,2006,0.455,75
Jackie Butler,CENTER,20,NEW YORK KNICKS,0,0,58,77,67,116,25,17,31,62,127,292,2006,0.544,55
Rasual Butler,SMALL FORWARD,26,NEW ORLEANS/OKLAHOMA CITY HORNETS,92,242,79,114,51,181,40,33,45,65,142,685,2006,0.406,79
Andrew Bynum,CENTER,18,LOS ANGELES LAKERS,0,0,8,27,34,46,9,4,22,17,56,74,2006,0.402,46
Will Bynum,POINT GUARD,23,GOLDEN STATE WARRIORS,2,9,10,16,3,9,19,7,0,14,10,54,2006,0.404,15
Žarko Čabarkapa,POWER FORWARD,24,GOLDEN STATE WARRIORS,5,20,60,84,37,74,20,13,7,35,87,199,2006,0.385,61
José Calderón,SHOOTING GUARD,24,TORONTO RAPTORS,7,43,78,92,30,111,288,42,4,101,93,349,2006,0.423,64
Marcus Camby,CENTER,31,DENVER NUGGETS,1,11,111,156,132,536,115,79,184,92,158,716,2006,0.465,56
Brian Cardinal,POWER FORWARD,28,MEMPHIS GRIZZLIES,13,29,19,27,11,44,33,23,0,27,65,124,2006,0.414,36
Matt Carroll,SHOOTING GUARD,25,CHARLOTTE BOBCATS,72,185,138,168,34,123,35,47,11,48,120,594,2006,0.403,78
Anthony Carter,POINT GUARD,30,MINNESOTA TIMBERWOLVES,4,15,40,55,9,53,101,24,9,40,71,150,2006,0.387,45
Vince Carter,SHOOTING GUARD,29,NEW JERSEY NETS,125,367,480,601,135,327,338,94,53,213,235,1911,2006,0.43,79
Sam Cassell,POINT GUARD,36,LOS ANGELES CLIPPERS,70,190,289,335,40,247,491,74,11,175,225,1345,2006,0.443,78
Kelvin Cato,CENTER,31,ORLANDO MAGIC,0,0,26,35,19,44,2,6,10,16,48,88,2006,0.429,23
Kelvin Cato,CENTER,31,ORLANDO MAGIC,0,0,26,35,19,44,2,6,10,16,48,88,2006,0.431,23
Kelvin Cato,CENTER,31,ORLANDO MAGIC,0,0,26,35,19,44,2,6,10,16,48,88,2006,0.417,23
Kelvin Cato,CENTER,31,DETROIT PISTONS,0,0,0,0,1,6,2,0,2,2,4,10,2006,0.429,4
Kelvin Cato,CENTER,31,DETROIT PISTONS,0,0,0,0,1,6,2,0,2,2,4,10,2006,0.431,4
Kelvin Cato,CENTER,31,DETROIT PISTONS,0,0,0,0,1,6,2,0,2,2,4,10,2006,0.417,4
Tyson Chandler,CENTER,23,CHICAGO BULLS,0,1,97,193,265,449,81,41,104,123,298,417,2006,0.565,79
Calbert Cheaney,SMALL FORWARD,34,GOLDEN STATE WARRIORS,0,8,8,8,20,41,19,13,2,17,38,92,2006,0.389,42
Josh Childress,SMALL FORWARD,22,ATLANTA HAWKS,32,65,154,201,134,253,131,86,39,101,184,742,2006,0.552,74
Doug Christie,SHOOTING GUARD,35,DALLAS MAVERICKS,0,1,8,12,2,11,14,9,1,6,10,26,2006,0.346,7
Speedy Claxton,POINT GUARD,27,NEW ORLEANS/OKLAHOMA CITY HORNETS,17,63,246,320,39,154,339,108,6,154,177,871,2006,0.413,71
Mateen Cleaves,POINT GUARD,28,SEATTLE SUPERSONICS,4,16,19,24,2,12,42,3,2,14,30,73,2006,0.352,27
Jarron Collins,CENTER,27,UTAH JAZZ,0,0,157,219,134,199,97,36,27,61,252,415,2006,0.461,79
Jason Collins,CENTER,27,NEW JERSEY NETS,3,12,44,86,93,249,70,46,40,61,251,255,2006,0.397,71
Nick Collison,POWER FORWARD,25,SEATTLE SUPERSONICS,0,3,79,113,143,225,74,21,35,77,213,493,2006,0.525,66
Brian Cook,POWER FORWARD,25,LOS ANGELES LAKERS,36,84,84,101,88,186,74,37,32,61,205,642,2006,0.511,81
Jamal Crawford,SHOOTING GUARD,25,NEW YORK KNICKS,101,293,295,357,36,212,301,87,15,175,150,1128,2006,0.416,79
Austin Croshere,POWER FORWARD,30,INDIANA PACERS,54,140,90,102,62,203,62,22,7,48,105,408,2006,0.463,50
Eddy Curry,CENTER,23,NEW YORK KNICKS,0,0,307,486,145,287,19,28,56,179,239,979,2006,0.563,72
Samuel Dalembert,CENTER,24,PHILADELPHIA 76ERS,0,1,93,132,159,382,25,34,160,107,244,485,2006,0.531,66
Erick Dampier,CENTER,30,DALLAS MAVERICKS,0,0,127,215,273,367,51,27,106,115,263,469,2006,0.493,82
Antonio Daniels,SHOOTING GUARD,30,WASHINGTON WIZARDS,23,101,284,336,19,153,284,52,8,89,96,767,2006,0.418,80
Marquis Daniels,SHOOTING GUARD,25,DALLAS MAVERICKS,4,19,138,183,81,143,172,67,13,100,143,634,2006,0.48,62
Antonio Davis,POWER FORWARD,37,NEW YORK KNICKS,0,1,45,61,75,97,14,20,9,43,99,181,2006,0.432,36
Antonio Davis,POWER FORWARD,37,NEW YORK KNICKS,0,1,45,61,75,97,14,20,9,43,99,181,2006,0.428,36
Antonio Davis,POWER FORWARD,37,NEW YORK KNICKS,0,1,45,61,75,97,14,20,9,43,99,181,2006,0.452,36
Antonio Davis,CENTER,37,TORONTO RAPTORS,0,0,7,20,15,21,7,3,1,8,26,35,2006,0.432,8
Antonio Davis,CENTER,37,TORONTO RAPTORS,0,0,7,20,15,21,7,3,1,8,26,35,2006,0.428,8
Antonio Davis,CENTER,37,TORONTO RAPTORS,0,0,7,20,15,21,7,3,1,8,26,35,2006,0.452,8
Baron Davis,POINT GUARD,26,GOLDEN STATE WARRIORS,102,324,195,289,45,191,480,89,14,159,165,967,2006,0.389,54
Dale Davis,CENTER,36,DETROIT PISTONS,0,1,8,15,21,32,6,0,9,4,23,26,2006,0.375,28
Josh Davis,POWER FORWARD,25,MILWAUKEE BUCKS,0,1,0,0,2,1,1,1,0,1,2,2,2006,0.286,4
Josh Davis,POWER FORWARD,25,MILWAUKEE BUCKS,0,1,0,0,2,1,1,1,0,1,2,2,2006,0.25,4
Josh Davis,POWER FORWARD,25,MILWAUKEE BUCKS,0,1,0,0,2,1,1,1,0,1,2,2,2006,,4
Josh Davis,POWER FORWARD,25,MILWAUKEE BUCKS,0,1,0,0,2,1,1,1,0,1,2,2,2006,0.333,4
Josh Davis,POWER FORWARD,25,HOUSTON ROCKETS,0,0,0,0,0,0,0,0,0,0,1,0,2006,0.286,1
Josh Davis,POWER FORWARD,25,HOUSTON ROCKETS,0,0,0,0,0,0,0,0,0,0,1,0,2006,0.25,1
Josh Davis,POWER FORWARD,25,HOUSTON ROCKETS,0,0,0,0,0,0,0,0,0,0,1,0,2006,,1
Josh Davis,POWER FORWARD,25,HOUSTON ROCKETS,0,0,0,0,0,0,0,0,0,0,1,0,2006,0.333,1
Josh Davis,POWER FORWARD,25,PHOENIX SUNS,0,1,2,3,1,0,0,1,0,0,0,4,2006,0.286,1
Josh Davis,POWER FORWARD,25,PHOENIX SUNS,0,1,2,3,1,0,0,1,0,0,0,4,2006,0.25,1
Josh Davis,POWER FORWARD,25,PHOENIX SUNS,0,1,2,3,1,0,0,1,0,0,0,4,2006,,1
Josh Davis,POWER FORWARD,25,PHOENIX SUNS,0,1,2,3,1,0,0,1,0,0,0,4,2006,0.333,1
Ricky Davis,SHOOTING GUARD,26,BOSTON CELTICS,40,125,129,164,40,147,221,49,9,115,91,827,2006,0.448,42
Ricky Davis,SHOOTING GUARD,26,BOSTON CELTICS,40,125,129,164,40,147,221,49,9,115,91,827,2006,0.464,42
Ricky Davis,SHOOTING GUARD,26,BOSTON CELTICS,40,125,129,164,40,147,221,49,9,115,91,827,2006,0.429,42
Ricky Davis,SMALL FORWARD,26,MINNESOTA TIMBERWOLVES,33,117,146,181,25,139,173,42,8,98,99,689,2006,0.448,36
Ricky Davis,SMALL FORWARD,26,MINNESOTA TIMBERWOLVES,33,117,146,181,25,139,173,42,8,98,99,689,2006,0.464,36
Ricky Davis,SMALL FORWARD,26,MINNESOTA TIMBERWOLVES,33,117,146,181,25,139,173,42,8,98,99,689,2006,0.429,36
Carlos Delfino,SHOOTING GUARD,23,DETROIT PISTONS,20,60,45,67,28,85,44,21,15,36,86,247,2006,0.403,68
Tony Delk,SHOOTING GUARD,32,ATLANTA HAWKS,0,0,2,2,1,1,0,0,0,0,0,2,2006,0.441,1
Tony Delk,SHOOTING GUARD,32,ATLANTA HAWKS,0,0,2,2,1,1,0,0,0,0,0,2,2006,0.0,1
Tony Delk,SHOOTING GUARD,32,ATLANTA HAWKS,0,0,2,2,1,1,0,0,0,0,0,2,2006,0.444,1
Tony Delk,POINT GUARD,32,DETROIT PISTONS,20,47,18,25,13,38,33,13,1,19,28,180,2006,0.441,23
Tony Delk,POINT GUARD,32,DETROIT PISTONS,20,47,18,25,13,38,33,13,1,19,28,180,2006,0.0,23
Tony Delk,POINT GUARD,32,DETROIT PISTONS,20,47,18,25,13,38,33,13,1,19,28,180,2006,0.444,23
Luol Deng,SMALL FORWARD,20,CHICAGO BULLS,21,78,207,276,127,389,147,72,50,105,128,1112,2006,0.463,78
Boris Diaw,POWER FORWARD,23,PHOENIX SUNS,8,30,174,238,159,399,503,58,85,189,260,1080,2006,0.526,81
Dan Dickau,POINT GUARD,27,BOSTON CELTICS,10,20,18,18,5,11,40,11,1,18,40,62,2006,0.37,19
Travis Diener,POINT GUARD,23,ORLANDO MAGIC,25,57,5,6,4,17,16,7,0,10,22,88,2006,0.42,23
Ike Diogu,POWER FORWARD,22,GOLDEN STATE WARRIORS,0,0,136,168,95,134,29,15,30,78,164,486,2006,0.524,69
DeSagana Diop,CENTER,24,DALLAS MAVERICKS,1,2,39,72,145,229,23,44,146,36,253,190,2006,0.487,81
Juan Dixon,SHOOTING GUARD,27,PORTLAND TRAIL BLAZERS,65,170,156,194,30,147,149,58,6,113,157,935,2006,0.435,76
Michael Doleac,CENTER,28,MIAMI HEAT,0,0,24,30,23,62,8,10,7,14,45,98,2006,0.42,31
Keyon Dooling,POINT GUARD,25,ORLANDO MAGIC,13,43,101,121,11,67,109,49,4,82,116,470,2006,0.44,50
Chris Duhon,POINT GUARD,23,CHICAGO BULLS,100,278,117,143,28,192,373,70,3,117,152,647,2006,0.4,74
Tim Duncan,POWER FORWARD,29,SAN ANTONIO SPURS,2,5,335,533,231,650,253,70,162,198,219,1485,2006,,80
Mike Dunleavy,SMALL FORWARD,25,GOLDEN STATE WARRIORS,74,260,196,252,78,321,237,60,32,120,199,932,2006,0.406,81
Ronald Dupree,SMALL FORWARD,25,MINNESOTA TIMBERWOLVES,0,1,14,41,21,28,14,12,0,14,44,80,2006,0.524,36
John Edwards,CENTER,24,ATLANTA HAWKS,0,0,8,11,18,30,5,3,15,12,76,70,2006,0.484,40
Howard Eisley,POINT GUARD,33,LOS ANGELES CLIPPERS,1,4,0,0,1,13,25,3,0,3,11,9,2006,0.33,13
Howard Eisley,POINT GUARD,33,LOS ANGELES CLIPPERS,1,4,0,0,1,13,25,3,0,3,11,9,2006,0.235,13
Howard Eisley,POINT GUARD,33,LOS ANGELES CLIPPERS,1,4,0,0,1,13,25,3,0,3,11,9,2006,0.349,13
Howard Eisley,POINT GUARD,33,DENVER NUGGETS,12,38,20,24,2,17,44,8,2,18,23,92,2006,0.33,19
Howard Eisley,POINT GUARD,33,DENVER NUGGETS,12,38,20,24,2,17,44,8,2,18,23,92,2006,0.235,19
Howard Eisley,POINT GUARD,33,DENVER NUGGETS,12,38,20,24,2,17,44,8,2,18,23,92,2006,0.349,19
Monta Ellis,SHOOTING GUARD,20,GOLDEN STATE WARRIORS,28,82,42,59,22,83,78,32,11,58,69,334,2006,0.415,49
Francisco Elson,CENTER,29,DENVER NUGGETS,1,5,49,74,99,240,47,54,45,65,211,352,2006,0.532,72
Melvin Ely,POWER FORWARD,27,CHARLOTTE BOBCATS,0,2,128,192,94,183,76,29,44,100,160,560,2006,0.508,57
Maurice Evans,SHOOTING GUARD,27,DETROIT PISTONS,43,116,52,65,76,87,60,41,15,39,122,403,2006,0.452,80
Reggie Evans,POWER FORWARD,25,SEATTLE SUPERSONICS,0,1,66,120,114,162,23,24,5,41,95,242,2006,0.489,41
Reggie Evans,POWER FORWARD,25,SEATTLE SUPERSONICS,0,1,66,120,114,162,23,24,5,41,95,242,2006,0.509,41
Reggie Evans,POWER FORWARD,25,SEATTLE SUPERSONICS,0,1,66,120,114,162,23,24,5,41,95,242,2006,0.453,41
Reggie Evans,POWER FORWARD,25,DENVER NUGGETS,0,0,49,97,57,169,15,16,5,44,71,135,2006,0.489,26
Reggie Evans,POWER FORWARD,25,DENVER NUGGETS,0,0,49,97,57,169,15,16,5,44,71,135,2006,0.509,26
Reggie Evans,POWER FORWARD,25,DENVER NUGGETS,0,0,49,97,57,169,15,16,5,44,71,135,2006,0.453,26
Daniel Ewing,SHOOTING GUARD,22,LOS ANGELES CLIPPERS,22,78,36,46,23,62,84,37,6,57,86,252,2006,0.38,66
Noel Felix,SMALL FORWARD,24,SEATTLE SUPERSONICS,1,3,5,8,3,10,2,2,3,8,13,18,2006,0.24,12
Raymond Felton,POINT GUARD,21,CHARLOTTE BOBCATS,97,271,161,222,77,188,446,102,8,182,181,948,2006,0.391,80
Michael Finley,SHOOTING GUARD,32,SAN ANTONIO SPURS,110,279,98,115,31,216,116,37,7,62,97,780,2006,0.412,77
Derek Fisher,POINT GUARD,31,GOLDEN STATE WARRIORS,117,295,244,293,36,175,352,125,8,156,237,1089,2006,0.41,82
Gerald Fitch,POINT GUARD,23,MIAMI HEAT,7,26,17,23,7,23,33,7,5,15,28,84,2006,0.337,18
Marcus Fizer,POWER FORWARD,27,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,1,1,2,1,6,1,0,0,2,5,20,2006,0.529,3
Sharrod Ford,POWER FORWARD,24,PHOENIX SUNS,0,0,0,0,1,2,0,0,1,2,7,4,2006,0.667,3
T.J. Ford,POINT GUARD,22,MILWAUKEE BUCKS,35,104,187,248,63,248,473,104,7,219,196,878,2006,0.416,72
Danny Fortson,CENTER,29,SEATTLE SUPERSONICS,0,0,33,43,31,47,2,4,2,26,76,87,2006,0.529,23
Jeff Foster,CENTER,29,INDIANA PACERS,0,4,96,159,224,350,50,41,27,64,191,372,2006,0.552,63
Adonal Foyle,CENTER,30,GOLDEN STATE WARRIORS,0,0,41,67,143,281,33,44,125,80,215,345,2006,0.507,77
Richie Frahm,SHOOTING GUARD,28,MINNESOTA TIMBERWOLVES,15,48,3,5,3,20,15,3,2,4,22,66,2006,0.39,25
Richie Frahm,SHOOTING GUARD,28,MINNESOTA TIMBERWOLVES,15,48,3,5,3,20,15,3,2,4,22,66,2006,0.369,25
Richie Frahm,SHOOTING GUARD,28,MINNESOTA TIMBERWOLVES,15,48,3,5,3,20,15,3,2,4,22,66,2006,0.429,25
Richie Frahm,SHOOTING GUARD,28,HOUSTON ROCKETS,8,22,4,5,0,10,6,1,0,4,8,42,2006,0.39,8
Richie Frahm,SHOOTING GUARD,28,HOUSTON ROCKETS,8,22,4,5,0,10,6,1,0,4,8,42,2006,0.369,8
Richie Frahm,SHOOTING GUARD,28,HOUSTON ROCKETS,8,22,4,5,0,10,6,1,0,4,8,42,2006,0.429,8
Steve Francis,POINT GUARD,28,ORLANDO MAGIC,18,70,231,290,60,159,262,51,11,156,142,747,2006,0.435,46
Steve Francis,POINT GUARD,28,ORLANDO MAGIC,18,70,231,290,60,159,262,51,11,156,142,747,2006,0.433,46
Steve Francis,POINT GUARD,28,ORLANDO MAGIC,18,70,231,290,60,159,262,51,11,156,142,747,2006,0.442,46
Steve Francis,SHOOTING GUARD,28,NEW YORK KNICKS,7,13,83,109,14,57,83,23,6,58,62,258,2006,0.435,24
Steve Francis,SHOOTING GUARD,28,NEW YORK KNICKS,7,13,83,109,14,57,83,23,6,58,62,258,2006,0.433,24
Steve Francis,SHOOTING GUARD,28,NEW YORK KNICKS,7,13,83,109,14,57,83,23,6,58,62,258,2006,0.442,24
Channing Frye,CENTER,22,NEW YORK KNICKS,3,9,189,229,138,236,53,30,47,97,200,802,2006,0.477,65
Dan Gadzuric,CENTER,27,MILWAUKEE BUCKS,0,1,41,89,91,141,24,25,43,35,171,383,2006,0.553,74
Deng Gai,CENTER,23,PHILADELPHIA 76ERS,0,0,0,0,0,0,0,0,0,0,0,0,2006,,2
Reece Gaines,POINT GUARD,25,MILWAUKEE BUCKS,0,2,1,4,0,0,3,1,0,1,1,13,2006,0.5,12
Francisco García,SMALL FORWARD,24,SACRAMENTO KINGS,39,137,78,101,39,146,94,41,47,75,135,377,2006,0.4,67
Kevin Garnett,POWER FORWARD,29,MINNESOTA TIMBERWOLVES,8,30,396,489,214,752,308,104,107,180,206,1656,2006,,76
Pat Garrity,POWER FORWARD,29,ORLANDO MAGIC,50,129,30,37,31,77,38,12,9,38,108,282,2006,0.417,57
Pau Gasol,POWER FORWARD,25,MEMPHIS GRIZZLIES,3,12,425,617,191,522,371,46,153,235,184,1628,2006,0.503,80
Devean George,SMALL FORWARD,28,LOS ANGELES LAKERS,50,160,58,86,82,192,68,66,34,54,159,448,2006,0.4,71
Eddie Gill,POINT GUARD,27,INDIANA PACERS,7,23,18,23,0,15,12,11,1,9,13,45,2006,0.222,41
Manu Ginóbili,SHOOTING GUARD,28,SAN ANTONIO SPURS,83,217,280,360,42,188,235,101,26,121,156,981,2006,,65
Gordan Giriček,SHOOTING GUARD,28,UTAH JAZZ,18,59,43,57,15,55,63,16,4,63,87,393,2006,0.433,37
Anthony Goldwire,POINT GUARD,34,LOS ANGELES CLIPPERS,0,2,0,0,0,1,2,0,0,1,0,2,2006,0.143,3
Ryan Gomes,POWER FORWARD,23,BOSTON CELTICS,3,9,112,149,102,196,58,35,5,55,83,461,2006,0.487,61
Drew Gooden,POWER FORWARD,24,CLEVELAND CAVALIERS,1,3,176,258,237,428,56,52,49,106,190,845,2006,0.512,79
Ben Gordon,SHOOTING GUARD,22,CHICAGO BULLS,166,382,211,268,43,176,240,75,5,180,238,1349,2006,0.422,80
Joey Graham,SMALL FORWARD,23,TORONTO RAPTORS,29,87,108,133,57,187,60,37,13,92,228,533,2006,0.478,80
Stephen Graham,SHOOTING GUARD,23,HOUSTON ROCKETS,1,5,4,4,1,6,3,2,0,5,5,17,2006,0.389,6
Stephen Graham,SHOOTING GUARD,23,HOUSTON ROCKETS,1,5,4,4,1,6,3,2,0,5,5,17,2006,0.375,6
Stephen Graham,SHOOTING GUARD,23,HOUSTON ROCKETS,1,5,4,4,1,6,3,2,0,5,5,17,2006,0.2,6
Stephen Graham,SHOOTING GUARD,23,HOUSTON ROCKETS,1,5,4,4,1,6,3,2,0,5,5,17,2006,0.424,6
Stephen Graham,SHOOTING GUARD,23,CHICAGO BULLS,1,4,2,2,0,3,1,0,0,1,3,5,2006,0.389,3
Stephen Graham,SHOOTING GUARD,23,CHICAGO BULLS,1,4,2,2,0,3,1,0,0,1,3,5,2006,0.375,3
Stephen Graham,SHOOTING GUARD,23,CHICAGO BULLS,1,4,2,2,0,3,1,0,0,1,3,5,2006,0.2,3
Stephen Graham,SHOOTING GUARD,23,CHICAGO BULLS,1,4,2,2,0,3,1,0,0,1,3,5,2006,0.424,3
Stephen Graham,SHOOTING GUARD,23,CLEVELAND CAVALIERS,0,1,8,9,4,13,3,3,2,7,23,36,2006,0.389,13
Stephen Graham,SHOOTING GUARD,23,CLEVELAND CAVALIERS,0,1,8,9,4,13,3,3,2,7,23,36,2006,0.375,13
Stephen Graham,SHOOTING GUARD,23,CLEVELAND CAVALIERS,0,1,8,9,4,13,3,3,2,7,23,36,2006,0.2,13
