name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played
Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,45,119,79,98,26,160,98,25,16,46,62,396,2019,0.4,34
Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,45,119,79,98,26,160,98,25,16,46,62,396,2019,0.45,34
Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,0,6,4,5,2,20,10,8,1,4,7,22,2019,0.405,13
Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,0,6,4,5,2,20,10,8,1,4,7,22,2019,0.412,13
Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,0,6,4,5,2,20,10,8,1,4,7,22,2019,0.4,13
Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,0,6,4,5,2,20,10,8,1,4,7,22,2019,0.45,13
Deonte Burton,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,8,27,8,12,4,24,9,6,8,9,31,82,2019,0.402,32
Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,17,45,48,61,16,36,43,24,10,14,18,213,2019,0.462,10
Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,17,45,48,61,16,36,43,24,10,14,18,213,2019,0.471,10
Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,17,45,48,61,16,36,43,24,10,14,18,213,2019,0.461,10
Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,50,148,264,304,105,185,220,99,29,81,93,1002,2019,0.462,55
Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,50,148,264,304,105,185,220,99,29,81,93,1002,2019,0.471,55
Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,50,148,264,304,105,185,220,99,29,81,93,1002,2019,0.461,55
Bruno Caboclo,POWER FORWARD,23,MEMPHIS GRIZZLIES,48,130,42,50,42,116,50,14,33,38,81,282,2019,0.427,34
José Calderón,POINT GUARD,37,DETROIT PISTONS,14,57,9,11,11,49,115,16,3,35,64,113,2019,0.375,49
Kentavious Caldwell-Pope,SHOOTING GUARD,25,LOS ANGELES LAKERS,151,435,137,158,48,190,110,73,13,65,137,938,2019,0.43,82
Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,25,72,15,20,5,44,62,12,0,29,46,142,2019,0.39,19
Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,25,72,15,20,5,44,62,12,0,29,46,142,2019,0.395,19
Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,25,72,15,20,5,44,62,12,0,29,46,142,2019,0.379,19
Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,25,72,15,20,5,44,62,12,0,29,46,142,2019,0.333,19
Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,19,4,4,0,5,19,2,1,4,4,33,2019,0.39,7
Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,19,4,4,0,5,19,2,1,4,4,33,2019,0.395,7
Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,19,4,4,0,5,19,2,1,4,4,33,2019,0.379,7
Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,19,4,4,0,5,19,2,1,4,4,33,2019,0.333,7
Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,2,5,0,0,1,3,3,0,1,2,2,6,2019,0.39,4
Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,2,5,0,0,1,3,3,0,1,2,2,6,2019,0.395,4
Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,2,5,0,0,1,3,3,0,1,2,2,6,2019,0.379,4
Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,2,5,0,0,1,3,3,0,1,2,2,6,2019,0.333,4
Clint Capela,CENTER,24,HOUSTON ROCKETS,0,0,166,261,298,550,96,44,102,94,168,1114,2019,0.648,67
DeMarre Carroll,POWER FORWARD,32,BROOKLYN NETS,106,310,184,242,68,281,85,31,10,73,114,744,2019,0.395,67
Jevon Carter,POINT GUARD,23,MEMPHIS GRIZZLIES,34,102,26,32,14,52,69,26,11,33,55,172,2019,0.303,39
Vince Carter,POWER FORWARD,42,ATLANTA HAWKS,123,316,47,66,31,163,87,44,27,48,141,562,2019,0.419,76
Wendell Carter Jr.,CENTER,19,CHICAGO BULLS,6,32,89,112,87,220,78,26,58,65,152,455,2019,0.485,44
Michael Carter-Williams,POINT GUARD,27,HOUSTON ROCKETS,7,19,12,26,3,10,21,9,6,10,27,69,2019,0.374,16
Michael Carter-Williams,POINT GUARD,27,HOUSTON ROCKETS,7,19,12,26,3,10,21,9,6,10,27,69,2019,0.41,16
Michael Carter-Williams,POINT GUARD,27,HOUSTON ROCKETS,7,19,12,26,3,10,21,9,6,10,27,69,2019,0.339,16
Michael Carter-Williams,POINT GUARD,27,ORLANDO MAGIC,3,19,20,27,16,41,49,11,9,10,21,65,2019,0.374,12
Michael Carter-Williams,POINT GUARD,27,ORLANDO MAGIC,3,19,20,27,16,41,49,11,9,10,21,65,2019,0.41,12
Michael Carter-Williams,POINT GUARD,27,ORLANDO MAGIC,3,19,20,27,16,41,49,11,9,10,21,65,2019,0.339,12
Alex Caruso,POINT GUARD,24,LOS ANGELES LAKERS,24,50,51,64,20,47,77,24,9,42,54,229,2019,0.445,25
Omri Casspi,SMALL FORWARD,30,MEMPHIS GRIZZLIES,15,43,39,58,17,98,26,20,9,23,35,226,2019,0.534,36
Willie Cauley-Stein,CENTER,25,SACRAMENTO KINGS,1,2,140,254,181,497,194,96,51,84,227,965,2019,0.556,81
Troy Caupain,POINT GUARD,23,ORLANDO MAGIC,2,3,0,0,1,2,4,1,0,0,0,10,2019,0.5,4
Tyler Cavanaugh,POWER FORWARD,24,UTAH JAZZ,1,5,2,2,3,5,1,0,0,1,3,9,2019,0.3,11
Tyson Chandler,CENTER,36,PHOENIX SUNS,0,0,10,18,7,32,6,2,1,7,21,26,2019,0.616,7
Tyson Chandler,CENTER,36,PHOENIX SUNS,0,0,10,18,7,32,6,2,1,7,21,26,2019,0.667,7
Tyson Chandler,CENTER,36,PHOENIX SUNS,0,0,10,18,7,32,6,2,1,7,21,26,2019,0.609,7
Tyson Chandler,CENTER,36,LOS ANGELES LAKERS,0,1,41,69,85,183,31,19,22,35,89,147,2019,0.616,48
Tyson Chandler,CENTER,36,LOS ANGELES LAKERS,0,1,41,69,85,183,31,19,22,35,89,147,2019,0.667,48
Tyson Chandler,CENTER,36,LOS ANGELES LAKERS,0,1,41,69,85,183,31,19,22,35,89,147,2019,0.609,48
Wilson Chandler,POWER FORWARD,31,PHILADELPHIA 76ERS,46,118,13,18,44,124,72,22,18,39,94,241,2019,0.418,36
Wilson Chandler,POWER FORWARD,31,PHILADELPHIA 76ERS,46,118,13,18,44,124,72,22,18,39,94,241,2019,0.44,36
Wilson Chandler,POWER FORWARD,31,PHILADELPHIA 76ERS,46,118,13,18,44,124,72,22,18,39,94,241,2019,0.348,36
Wilson Chandler,SMALL FORWARD,31,LOS ANGELES CLIPPERS,13,40,5,7,4,43,10,3,3,7,29,64,2019,0.418,15
Wilson Chandler,SMALL FORWARD,31,LOS ANGELES CLIPPERS,13,40,5,7,4,43,10,3,3,7,29,64,2019,0.44,15
Wilson Chandler,SMALL FORWARD,31,LOS ANGELES CLIPPERS,13,40,5,7,4,43,10,3,3,7,29,64,2019,0.348,15
Joe Chealey,POINT GUARD,23,CHARLOTTE HORNETS,0,0,0,0,0,0,1,0,0,0,1,2,2019,0.333,1
Chris Chiozza,POINT GUARD,23,HOUSTON ROCKETS,2,5,0,0,1,3,4,1,1,1,2,6,2019,0.25,7
Marquese Chriss,POWER FORWARD,21,HOUSTON ROCKETS,1,15,6,7,7,21,6,2,4,12,17,29,2019,0.372,16
Marquese Chriss,POWER FORWARD,21,HOUSTON ROCKETS,1,15,6,7,7,21,6,2,4,12,17,29,2019,0.324,16
Marquese Chriss,POWER FORWARD,21,HOUSTON ROCKETS,1,15,6,7,7,21,6,2,4,12,17,29,2019,0.384,16
Marquese Chriss,POWER FORWARD,21,CLEVELAND CAVALIERS,15,57,26,38,33,81,16,15,7,24,64,153,2019,0.372,27
Marquese Chriss,POWER FORWARD,21,CLEVELAND CAVALIERS,15,57,26,38,33,81,16,15,7,24,64,153,2019,0.324,27
Marquese Chriss,POWER FORWARD,21,CLEVELAND CAVALIERS,15,57,26,38,33,81,16,15,7,24,64,153,2019,0.384,27
Gary Clark,POWER FORWARD,24,HOUSTON ROCKETS,41,138,7,7,24,92,18,20,26,7,47,148,2019,0.331,51
Ian Clark,SHOOTING GUARD,27,NEW ORLEANS PELICANS,66,202,33,37,13,76,94,22,8,58,95,401,2019,0.394,60
Jordan Clarkson,SHOOTING GUARD,26,CLEVELAND CAVALIERS,144,445,162,192,82,188,196,57,13,135,112,1364,2019,0.448,81
John Collins,POWER FORWARD,21,ATLANTA HAWKS,55,158,203,266,219,376,121,22,39,120,199,1188,2019,0.56,61
Zach Collins,CENTER,21,PORTLAND TRAIL BLAZERS,40,121,94,126,109,215,71,25,66,77,174,512,2019,0.473,77
Darren Collison,POINT GUARD,31,INDIANA PACERS,79,194,158,190,36,196,459,110,9,125,138,853,2019,0.467,76
Bonzie Colson,SMALL FORWARD,23,MILWAUKEE BUCKS,5,21,8,9,8,22,3,5,1,3,3,39,2019,0.333,8
Mike Conley,POINT GUARD,31,MEMPHIS GRIZZLIES,155,426,343,406,40,199,449,94,22,130,123,1478,2019,0.438,70
Pat Connaughton,SHOOTING GUARD,26,MILWAUKEE BUCKS,66,200,29,40,61,197,122,33,25,33,81,421,2019,0.466,61
Quinn Cook,POINT GUARD,25,GOLDEN STATE WARRIORS,81,200,20,26,22,135,116,20,3,50,92,509,2019,0.465,74
DeMarcus Cousins,CENTER,28,GOLDEN STATE WARRIORS,26,95,106,144,43,204,107,40,44,72,109,488,2019,0.48,30
Robert Covington,SMALL FORWARD,28,PHILADELPHIA 76ERS,30,77,17,23,7,60,14,24,23,22,45,147,2019,0.431,13
Robert Covington,SMALL FORWARD,28,PHILADELPHIA 76ERS,30,77,17,23,7,60,14,24,23,22,45,147,2019,0.427,13
Robert Covington,SMALL FORWARD,28,PHILADELPHIA 76ERS,30,77,17,23,7,60,14,24,23,22,45,147,2019,0.433,13
Robert Covington,SMALL FORWARD,28,MINNESOTA TIMBERWOLVES,55,148,51,66,21,105,32,50,24,25,81,318,2019,0.431,22
