name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Eric Snow,POINT GUARD,30,PHILADELPHIA 76ERS,2,18,252,316,62,219,563,97,6,187,213,844,2004,0.413,82,EC,6.865853658536586,3.0106951871657754
Kirk Hinrich,POINT GUARD,23,CHICAGO BULLS,144,369,135,168,42,217,517,101,21,204,276,915,2004,0.386,76,EC,6.802631578947368,2.534313725490196
Baron Davis,POINT GUARD,24,NEW ORLEANS HORNETS,187,582,237,352,66,221,501,158,27,215,178,1532,2004,0.395,67,Unknown,7.477611940298507,2.3302325581395347
Andre Miller,POINT GUARD,27,DENVER NUGGETS,12,65,342,411,127,239,501,142,25,215,194,1214,2004,0.457,82,WC,6.109756097560975,2.3302325581395347
Damon Stoudamire,POINT GUARD,30,PORTLAND TRAIL BLAZERS,156,427,127,145,52,256,500,99,9,180,173,1099,2004,0.401,82,WC,6.097560975609756,2.7777777777777777
Steve Francis,POINT GUARD,26,HOUSTON ROCKETS,73,250,337,435,116,317,493,139,35,294,257,1310,2004,0.403,79,WC,6.2405063291139244,1.6768707482993197
Jason Williams,POINT GUARD,28,MEMPHIS GRIZZLIES,120,364,82,98,25,122,492,92,5,136,97,782,2004,0.407,72,WC,6.833333333333333,3.6176470588235294
Steve Nash,POINT GUARD,30,PHOENIX SUNS,94,218,211,238,57,192,861,74,6,245,136,1165,2005,,75,WC,11.48,3.5142857142857142
Stephon Marbury,POINT GUARD,27,NEW YORK KNICKS,115,325,458,549,50,198,668,122,6,233,186,1781,2005,0.462,82,EC,8.146341463414634,2.866952789699571
Allen Iverson,POINT GUARD,29,PHILADELPHIA 76ERS,104,338,656,786,51,248,596,180,9,344,140,2302,2005,,75,EC,7.946666666666666,1.7325581395348837
Brevin Knight,POINT GUARD,29,CHARLOTTE BOBCATS,3,20,167,196,21,149,591,131,5,147,192,666,2005,0.422,66,Unknown,8.954545454545455,4.020408163265306
LeBron James,SMALL FORWARD,20,CLEVELAND CAVALIERS,108,308,477,636,111,477,577,177,52,262,146,2175,2005,0.472,80,EC,7.2125,2.2022900763358777
Andre Miller,POINT GUARD,28,DENVER NUGGETS,6,39,253,302,100,238,569,121,8,220,204,1113,2005,0.477,82,WC,6.939024390243903,2.5863636363636364
Steve Francis,POINT GUARD,27,ORLANDO MAGIC,38,127,499,606,126,324,547,112,28,317,273,1663,2005,0.423,78,EC,7.012820512820513,1.725552050473186
Jason Kidd,POINT GUARD,31,NEW JERSEY NETS,129,358,142,192,94,394,545,123,9,167,110,951,2005,,66,Unknown,8.257575757575758,3.2634730538922154
Mike Bibby,POINT GUARD,26,SACRAMENTO KINGS,131,364,320,413,77,255,541,124,30,203,191,1571,2005,0.443,80,WC,6.7625,2.665024630541872
Dwyane Wade,SHOOTING GUARD,23,MIAMI HEAT,13,45,581,762,110,287,520,121,82,321,230,1854,2005,0.478,77,EC,6.753246753246753,1.6199376947040498
Steve Nash,POINT GUARD,31,PHOENIX SUNS,150,342,257,279,47,286,826,61,12,276,120,1489,2006,,79,WC,10.455696202531646,2.9927536231884058
Chauncey Billups,POINT GUARD,29,DETROIT PISTONS,184,425,465,520,41,211,699,71,8,170,160,1495,2006,0.418,81,EC,8.62962962962963,4.1117647058823525
Andre Miller,POINT GUARD,29,DENVER NUGGETS,5,27,313,424,92,259,674,106,18,256,213,1126,2006,0.463,82,WC,8.21951219512195,2.6328125
Jason Kidd,POINT GUARD,32,NEW JERSEY NETS,139,395,194,244,86,494,672,150,29,192,157,1065,2006,,80,Unknown,8.4,3.5
Chris Paul,POINT GUARD,20,NEW ORLEANS/OKLAHOMA CITY HORNETS,50,177,394,465,61,339,611,175,6,183,218,1258,2006,0.43,78,Unknown,7.833333333333333,3.33879781420765
Brevin Knight,POINT GUARD,30,CHARLOTTE BOBCATS,3,13,252,314,35,188,610,157,4,164,202,871,2006,0.399,69,Unknown,8.840579710144928,3.7195121951219514
Luke Ridnour,POINT GUARD,24,SEATTLE SUPERSONICS,43,149,199,227,47,188,550,123,22,162,178,910,2006,0.418,79,Unknown,6.962025316455696,3.3950617283950617
Joe Johnson,SHOOTING GUARD,24,ATLANTA HAWKS,128,360,261,330,98,237,536,103,31,267,187,1653,2006,0.453,82,EC,6.536585365853658,2.00749063670412
Allen Iverson,POINT GUARD,30,PHILADELPHIA 76ERS,72,223,675,829,44,188,532,140,10,248,121,2377,2006,,72,EC,7.388888888888889,2.1451612903225805
LeBron James,SMALL FORWARD,21,CLEVELAND CAVALIERS,127,379,601,814,75,481,521,123,66,260,181,2478,2006,0.48,79,EC,6.594936708860759,2.003846153846154
Steve Nash,POINT GUARD,32,PHOENIX SUNS,156,343,222,247,30,239,884,57,6,287,117,1412,2007,,76,WC,11.631578947368421,3.0801393728222997
Deron Williams,POINT GUARD,22,UTAH JAZZ,82,255,227,296,41,226,745,78,13,246,254,1297,2007,0.456,80,WC,9.3125,3.0284552845528454
Jason Kidd,POINT GUARD,33,NEW JERSEY NETS,124,361,179,230,135,520,736,127,23,213,146,1041,2007,,80,Unknown,9.2,3.455399061032864
T.J. Ford,POINT GUARD,23,TORONTO RAPTORS,21,69,240,293,53,183,595,101,8,231,186,1047,2007,0.436,75,EC,7.933333333333334,2.5757575757575757
Chris Paul,POINT GUARD,21,NEW ORLEANS/OKLAHOMA CITY HORNETS,50,143,292,357,54,226,569,118,3,161,154,1104,2007,0.437,64,Unknown,8.890625,3.5341614906832297
Raymond Felton,POINT GUARD,22,CHARLOTTE BOBCATS,103,312,204,256,51,216,545,118,10,230,180,1093,2007,0.384,78,Unknown,6.987179487179487,2.369565217391304
Baron Davis,POINT GUARD,27,GOLDEN STATE WARRIORS,85,280,275,369,51,225,509,135,29,193,181,1264,2007,0.439,63,WC,8.079365079365079,2.6373056994818653
