name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Hamidou Diallo,SHOOTING GUARD,20,OKLAHOMA CITY THUNDER,4,24,36,59,38,59,17,21,10,23,77,190,2019,0.455,51,WC,0.3333333333333333,0.7391304347826086
Gorgui Dieng,CENTER,29,MINNESOTA TIMBERWOLVES,19,56,88,106,81,230,72,48,41,57,134,485,2019,0.501,76,WC,0.9473684210526315,1.263157894736842
Spencer Dinwiddie,POINT GUARD,25,BROOKLYN NETS,124,370,287,356,26,140,311,40,17,152,187,1143,2019,0.442,68,EC,4.573529411764706,2.0460526315789473
Donte DiVincenzo,SHOOTING GUARD,22,MILWAUKEE BUCKS,22,83,9,12,16,49,31,13,6,19,38,131,2019,0.403,27,EC,1.1481481481481481,1.631578947368421
Luka Dončić,SHOOTING GUARD,19,DALLAS MAVERICKS,168,514,346,485,86,477,429,77,25,247,137,1526,2019,0.427,72,WC,5.958333333333333,1.736842105263158
Tyler Dorsey,SHOOTING GUARD,22,ATLANTA HAWKS,10,39,16,26,9,34,17,7,1,10,20,90,2019,0.405,27,EC,0.6296296296296297,1.7
Tyler Dorsey,SHOOTING GUARD,22,ATLANTA HAWKS,10,39,16,26,9,34,17,7,1,10,20,90,2019,0.36,27,EC,0.6296296296296297,1.7
Tyler Dorsey,SHOOTING GUARD,22,ATLANTA HAWKS,10,39,16,26,9,34,17,7,1,10,20,90,2019,0.429,27,EC,0.6296296296296297,1.7
Tyler Dorsey,SHOOTING GUARD,22,MEMPHIS GRIZZLIES,34,93,22,35,18,52,39,7,1,17,33,206,2019,0.405,21,WC,1.8571428571428572,2.2941176470588234
Tyler Dorsey,SHOOTING GUARD,22,MEMPHIS GRIZZLIES,34,93,22,35,18,52,39,7,1,17,33,206,2019,0.36,21,WC,1.8571428571428572,2.2941176470588234
Tyler Dorsey,SHOOTING GUARD,22,MEMPHIS GRIZZLIES,34,93,22,35,18,52,39,7,1,17,33,206,2019,0.429,21,WC,1.8571428571428572,2.2941176470588234
Damyean Dotson,SHOOTING GUARD,24,NEW YORK KNICKS,126,342,73,98,34,228,135,58,10,71,135,779,2019,0.415,73,EC,1.8493150684931507,1.9014084507042253
PJ Dozier,SHOOTING GUARD,22,BOSTON CELTICS,2,8,1,2,6,11,5,2,0,0,2,19,2019,0.381,6,EC,0.8333333333333334,inf
Goran Dragić,POINT GUARD,32,MIAMI HEAT,57,164,79,101,20,91,174,30,5,71,81,494,2019,0.413,36,EC,4.833333333333333,2.4507042253521125
Andre Drummond,CENTER,25,DETROIT PISTONS,5,38,243,412,423,809,112,136,138,175,272,1370,2019,0.533,79,EC,1.4177215189873418,0.64
Jared Dudley,POWER FORWARD,33,BROOKLYN NETS,53,151,32,46,34,121,83,36,16,43,131,287,2019,0.423,59,EC,1.4067796610169492,1.930232558139535
Kris Dunn,POINT GUARD,24,CHICAGO BULLS,34,96,55,69,19,168,277,68,21,104,166,519,2019,0.425,46,EC,6.021739130434782,2.6634615384615383
Kevin Durant,SMALL FORWARD,30,GOLDEN STATE WARRIORS,137,388,448,506,33,464,457,58,84,225,155,2027,2019,0.521,78,WC,5.858974358974359,2.031111111111111
Trevon Duval,POINT GUARD,20,MILWAUKEE BUCKS,1,1,0,0,0,1,2,0,0,0,0,5,2019,0.667,3,EC,0.6666666666666666,inf
Vince Edwards,SMALL FORWARD,22,HOUSTON ROCKETS,1,4,0,0,1,1,0,0,0,0,0,3,2019,0.25,2,WC,0.0,
Henry Ellenson,POWER FORWARD,22,DETROIT PISTONS,2,4,2,2,0,9,1,0,0,0,2,12,2019,0.411,2,EC,0.5,inf
Henry Ellenson,POWER FORWARD,22,DETROIT PISTONS,2,4,2,2,0,9,1,0,0,0,2,12,2019,0.4,2,EC,0.5,inf
Henry Ellenson,POWER FORWARD,22,DETROIT PISTONS,2,4,2,2,0,9,1,0,0,0,2,12,2019,0.412,2,EC,0.5,inf
Henry Ellenson,POWER FORWARD,22,NEW YORK KNICKS,15,34,17,23,5,52,15,7,2,9,25,102,2019,0.411,17,EC,0.8823529411764706,1.6666666666666667
Henry Ellenson,POWER FORWARD,22,NEW YORK KNICKS,15,34,17,23,5,52,15,7,2,9,25,102,2019,0.4,17,EC,0.8823529411764706,1.6666666666666667
Henry Ellenson,POWER FORWARD,22,NEW YORK KNICKS,15,34,17,23,5,52,15,7,2,9,25,102,2019,0.412,17,EC,0.8823529411764706,1.6666666666666667
Wayne Ellington,SHOOTING GUARD,31,MIAMI HEAT,57,155,14,16,6,41,29,24,3,14,40,209,2019,0.403,25,EC,1.16,2.0714285714285716
Wayne Ellington,SHOOTING GUARD,31,MIAMI HEAT,57,155,14,16,6,41,29,24,3,14,40,209,2019,0.375,25,EC,1.16,2.0714285714285716
Wayne Ellington,SHOOTING GUARD,31,MIAMI HEAT,57,155,14,16,6,41,29,24,3,14,40,209,2019,0.421,25,EC,1.16,2.0714285714285716
Wayne Ellington,SHOOTING GUARD,31,DETROIT PISTONS,81,217,25,33,8,52,43,30,3,26,52,336,2019,0.403,28,EC,1.5357142857142858,1.6538461538461537
Wayne Ellington,SHOOTING GUARD,31,DETROIT PISTONS,81,217,25,33,8,52,43,30,3,26,52,336,2019,0.375,28,EC,1.5357142857142858,1.6538461538461537
Wayne Ellington,SHOOTING GUARD,31,DETROIT PISTONS,81,217,25,33,8,52,43,30,3,26,52,336,2019,0.421,28,EC,1.5357142857142858,1.6538461538461537
Joel Embiid,CENTER,24,PHILADELPHIA 76ERS,79,263,522,649,160,711,234,46,122,226,211,1761,2019,0.484,64,EC,3.65625,1.0353982300884956
James Ennis III,SMALL FORWARD,28,HOUSTON ROCKETS,44,120,42,58,37,80,27,38,16,23,111,294,2019,0.469,40,WC,0.675,1.173913043478261
James Ennis III,SMALL FORWARD,28,HOUSTON ROCKETS,44,120,42,58,37,80,27,38,16,23,111,294,2019,0.493,40,WC,0.675,1.173913043478261
James Ennis III,SMALL FORWARD,28,HOUSTON ROCKETS,44,120,42,58,37,80,27,38,16,23,111,294,2019,0.41,40,WC,0.675,1.173913043478261
James Ennis III,SMALL FORWARD,28,PHILADELPHIA 76ERS,11,36,16,23,23,42,14,3,7,11,39,95,2019,0.469,18,EC,0.7777777777777778,1.2727272727272727
James Ennis III,SMALL FORWARD,28,PHILADELPHIA 76ERS,11,36,16,23,23,42,14,3,7,11,39,95,2019,0.493,18,EC,0.7777777777777778,1.2727272727272727
James Ennis III,SMALL FORWARD,28,PHILADELPHIA 76ERS,11,36,16,23,23,42,14,3,7,11,39,95,2019,0.41,18,EC,0.7777777777777778,1.2727272727272727
Drew Eubanks,POWER FORWARD,21,SAN ANTONIO SPURS,0,0,11,13,6,28,7,2,5,8,11,41,2019,0.577,23,WC,0.30434782608695654,0.875
Jacob Evans,SHOOTING GUARD,21,GOLDEN STATE WARRIORS,4,15,0,1,6,19,23,5,3,11,28,40,2019,0.34,30,WC,0.7666666666666667,2.090909090909091
Jawun Evans,POINT GUARD,22,PHOENIX SUNS,0,2,0,0,1,11,10,3,0,6,8,6,2019,0.214,7,WC,1.4285714285714286,1.6666666666666667
Jawun Evans,POINT GUARD,22,PHOENIX SUNS,0,2,0,0,1,11,10,3,0,6,8,6,2019,0.231,7,WC,1.4285714285714286,1.6666666666666667
Jawun Evans,POINT GUARD,22,PHOENIX SUNS,0,2,0,0,1,11,10,3,0,6,8,6,2019,0.0,7,WC,1.4285714285714286,1.6666666666666667
Jawun Evans,POINT GUARD,22,OKLAHOMA CITY THUNDER,0,1,0,0,0,0,0,0,0,0,0,0,2019,0.214,1,WC,0.0,
Jawun Evans,POINT GUARD,22,OKLAHOMA CITY THUNDER,0,1,0,0,0,0,0,0,0,0,0,0,2019,0.231,1,WC,0.0,
Jawun Evans,POINT GUARD,22,OKLAHOMA CITY THUNDER,0,1,0,0,0,0,0,0,0,0,0,0,2019,0.0,1,WC,0.0,
Tyreke Evans,SHOOTING GUARD,29,INDIANA PACERS,77,216,115,160,33,168,166,58,18,118,117,706,2019,0.389,69,EC,2.4057971014492754,1.4067796610169492
Dante Exum,POINT GUARD,23,UTAH JAZZ,18,62,68,86,16,52,110,14,5,52,69,288,2019,0.419,42,WC,2.619047619047619,2.1153846153846154
Kenneth Faried,CENTER,29,BROOKLYN NETS,1,5,10,16,15,29,2,2,4,6,8,61,2019,0.589,12,EC,0.16666666666666666,0.3333333333333333
Kenneth Faried,CENTER,29,BROOKLYN NETS,1,5,10,16,15,29,2,2,4,6,8,61,2019,0.595,12,EC,0.16666666666666666,0.3333333333333333
Kenneth Faried,CENTER,29,BROOKLYN NETS,1,5,10,16,15,29,2,2,4,6,8,61,2019,0.587,12,EC,0.16666666666666666,0.3333333333333333
Kenneth Faried,CENTER,29,HOUSTON ROCKETS,7,20,54,83,82,124,18,15,19,27,74,323,2019,0.589,25,WC,0.72,0.6666666666666666
Kenneth Faried,CENTER,29,HOUSTON ROCKETS,7,20,54,83,82,124,18,15,19,27,74,323,2019,0.595,25,WC,0.72,0.6666666666666666
Kenneth Faried,CENTER,29,HOUSTON ROCKETS,7,20,54,83,82,124,18,15,19,27,74,323,2019,0.587,25,WC,0.72,0.6666666666666666
Derrick Favors,CENTER,27,UTAH JAZZ,17,78,154,228,207,353,89,56,106,84,163,897,2019,0.586,76,WC,1.1710526315789473,1.0595238095238095
Cristiano Felício,CENTER,26,CHICAGO BULLS,0,4,50,73,79,139,37,11,7,33,69,240,2019,0.531,60,EC,0.6166666666666667,1.121212121212121
Raymond Felton,POINT GUARD,34,OKLAHOMA CITY THUNDER,20,61,12,13,4,30,52,10,6,14,29,142,2019,0.407,33,WC,1.5757575757575757,3.7142857142857144
Terrance Ferguson,SHOOTING GUARD,20,OKLAHOMA CITY THUNDER,106,290,37,51,33,108,72,40,16,47,231,513,2019,0.429,74,WC,0.972972972972973,1.5319148936170213
Yogi Ferrell,POINT GUARD,25,SACRAMENTO KINGS,54,149,60,67,13,96,137,36,4,40,64,420,2019,0.435,71,WC,1.9295774647887325,3.425
Dorian Finney-Smith,SMALL FORWARD,25,DALLAS MAVERICKS,79,254,73,103,138,251,95,69,36,74,186,608,2019,0.432,81,WC,1.1728395061728396,1.2837837837837838
Bryn Forbes,SHOOTING GUARD,25,SAN ANTONIO SPURS,176,413,69,78,18,221,175,45,4,80,159,967,2019,0.456,82,WC,2.1341463414634148,2.1875
Evan Fournier,SHOOTING GUARD,26,ORLANDO MAGIC,153,450,137,170,38,220,295,71,12,154,225,1226,2019,0.438,81,EC,3.6419753086419755,1.9155844155844155
De'Aaron Fox,POINT GUARD,21,SACRAMENTO KINGS,86,232,303,417,43,261,590,133,45,227,204,1399,2019,0.458,81,WC,7.283950617283951,2.5991189427312777
Melvin Frazier,SHOOTING GUARD,22,ORLANDO MAGIC,0,6,1,4,3,2,1,1,0,1,6,15,2019,0.333,10,EC,0.1,1.0
Tim Frazier,POINT GUARD,28,NEW ORLEANS PELICANS,27,77,32,41,32,105,206,25,4,60,93,235,2019,0.444,47,WC,4.382978723404255,3.433333333333333
Tim Frazier,POINT GUARD,28,NEW ORLEANS PELICANS,27,77,32,41,32,105,206,25,4,60,93,235,2019,0.451,47,WC,4.382978723404255,3.433333333333333
Tim Frazier,POINT GUARD,28,NEW ORLEANS PELICANS,27,77,32,41,32,105,206,25,4,60,93,235,2019,0.424,47,WC,4.382978723404255,3.433333333333333
Tim Frazier,POINT GUARD,28,MILWAUKEE BUCKS,10,24,9,13,9,22,42,5,1,16,19,75,2019,0.444,12,EC,3.5,2.625
Tim Frazier,POINT GUARD,28,MILWAUKEE BUCKS,10,24,9,13,9,22,42,5,1,16,19,75,2019,0.451,12,EC,3.5,2.625
Tim Frazier,POINT GUARD,28,MILWAUKEE BUCKS,10,24,9,13,9,22,42,5,1,16,19,75,2019,0.424,12,EC,3.5,2.625
Jimmer Fredette,SHOOTING GUARD,29,PHOENIX SUNS,0,13,6,6,1,6,8,3,0,5,5,22,2019,0.276,6,WC,1.3333333333333333,1.6
Enes Freedom,CENTER,26,NEW YORK KNICKS,7,22,105,129,171,290,84,18,17,79,106,614,2019,0.549,44,EC,1.9090909090909092,1.0632911392405062
Enes Freedom,CENTER,26,NEW YORK KNICKS,7,22,105,129,171,290,84,18,17,79,106,614,2019,0.536,44,EC,1.9090909090909092,1.0632911392405062
Enes Freedom,CENTER,26,NEW YORK KNICKS,7,22,105,129,171,290,84,18,17,79,106,614,2019,0.577,44,EC,1.9090909090909092,1.0632911392405062
Enes Freedom,CENTER,26,PORTLAND TRAIL BLAZERS,3,12,50,68,86,112,32,14,9,39,61,301,2019,0.549,23,WC,1.391304347826087,0.8205128205128205
Enes Freedom,CENTER,26,PORTLAND TRAIL BLAZERS,3,12,50,68,86,112,32,14,9,39,61,301,2019,0.536,23,WC,1.391304347826087,0.8205128205128205
